2026-04-29 19:45:01 - gpd_ai_companion_qna_batch - INFO - Debug mode is disabled
2026-04-29 19:45:01 - gpd_ai_companion_qna_batch - INFO - Logger configured. Log files will be saved in: C:\Users\vs134\Documents\myrepo\qna\logs
2026-04-29 19:45:01 - gpd_ai_companion_qna_batch - INFO - All required environment variables loaded successfully.
2026-04-29 19:45:02 - gpd_ai_companion_qna_batch - INFO - Processing input_type: file
2026-04-29 19:45:02 - gpd_ai_companion_qna_batch - INFO - Processing project: MIRA
2026-04-29 19:45:02 - gpd_ai_companion_qna_batch - INFO - Total records processing: 26
2026-04-29 19:45:02 - gpd_ai_companion_qna_batch - INFO - Columns in the DataFrame: ['question']
2026-04-29 19:45:02 - gpd_ai_companion_qna_batch - INFO - Batch processing started
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:16 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:17 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:25 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:27 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:27 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:27 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:27 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:28 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:28 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:28 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:28 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:28 - gpd_ai_companion_qna_batch - INFO - Processed 1/26 rows (3.85%)
2026-04-29 19:45:28 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:29 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:29 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:29 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:35 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:35 - gpd_ai_companion_qna_batch - INFO - Processed 2/26 rows (7.69%)
2026-04-29 19:45:36 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:36 - gpd_ai_companion_qna_batch - INFO - Processed 3/26 rows (11.54%)
2026-04-29 19:45:40 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:40 - gpd_ai_companion_qna_batch - INFO - Processed 4/26 rows (15.38%)
2026-04-29 19:45:40 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:40 - gpd_ai_companion_qna_batch - INFO - Processed 5/26 rows (19.23%)
2026-04-29 19:45:40 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:40 - gpd_ai_companion_qna_batch - INFO - Processed 6/26 rows (23.08%)
2026-04-29 19:45:40 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:40 - gpd_ai_companion_qna_batch - INFO - Processed 7/26 rows (26.92%)
2026-04-29 19:45:41 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:41 - gpd_ai_companion_qna_batch - INFO - Processed 8/26 rows (30.77%)
2026-04-29 19:45:41 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:41 - gpd_ai_companion_qna_batch - INFO - Processed 9/26 rows (34.62%)
2026-04-29 19:45:41 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:41 - gpd_ai_companion_qna_batch - INFO - Processed 10/26 rows (38.46%)
2026-04-29 19:45:41 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:41 - gpd_ai_companion_qna_batch - INFO - Processed 11/26 rows (42.31%)
2026-04-29 19:45:42 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:42 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:43 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:43 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:45:43 - gpd_ai_companion_qna_batch - INFO - Processed 12/26 rows (46.15%)
2026-04-29 19:45:47 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:48 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:50 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:51 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:52 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:52 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:52 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:52 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:52 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:52 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:52 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:53 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:53 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:45:53 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:55 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:45:55 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:46:02 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:46:03 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:46:03 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:03 - gpd_ai_companion_qna_batch - INFO - Processed 13/26 rows (50.00%)
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - Processed 14/26 rows (53.85%)
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - Processed 15/26 rows (57.69%)
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - Processed 16/26 rows (61.54%)
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - Processed 17/26 rows (65.38%)
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:04 - gpd_ai_companion_qna_batch - INFO - Processed 18/26 rows (69.23%)
2026-04-29 19:46:05 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:05 - gpd_ai_companion_qna_batch - INFO - Processed 19/26 rows (73.08%)
2026-04-29 19:46:05 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:46:06 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:06 - gpd_ai_companion_qna_batch - INFO - Processed 20/26 rows (76.92%)
2026-04-29 19:46:06 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:06 - gpd_ai_companion_qna_batch - INFO - Processed 21/26 rows (80.77%)
2026-04-29 19:46:07 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:46:07 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:07 - gpd_ai_companion_qna_batch - INFO - Processed 22/26 rows (84.62%)
2026-04-29 19:46:07 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:07 - gpd_ai_companion_qna_batch - INFO - Processed 23/26 rows (88.46%)
2026-04-29 19:46:08 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:08 - gpd_ai_companion_qna_batch - INFO - Processed 24/26 rows (92.31%)
2026-04-29 19:46:08 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:46:10 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:46:12 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:46:14 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:14 - gpd_ai_companion_qna_batch - INFO - Processed 25/26 rows (96.15%)
2026-04-29 19:46:15 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:46:15 - gpd_ai_companion_qna_batch - INFO - Processed 26/26 rows (100.00%)
2026-04-29 19:46:15 - gpd_ai_companion_qna_batch - INFO - Total rows in dataframe: 26
2026-04-29 19:46:15 - gpd_ai_companion_qna_batch - INFO - batch QnA metadata processed
2026-04-29 19:46:15 - gpd_ai_companion_qna_batch - INFO - Total run time: 1.21 minutes
