2026-04-29 19:43:26 - gpd_ai_companion_qna_batch - INFO - Debug mode is disabled
2026-04-29 19:43:26 - gpd_ai_companion_qna_batch - INFO - Logger configured. Log files will be saved in: C:\Users\vs134\Documents\myrepo\qna\logs
2026-04-29 19:43:26 - gpd_ai_companion_qna_batch - INFO - All required environment variables loaded successfully.
2026-04-29 19:43:28 - gpd_ai_companion_qna_batch - INFO - Processing input_type: file
2026-04-29 19:43:28 - gpd_ai_companion_qna_batch - INFO - Processing project: MIRA
2026-04-29 19:43:28 - gpd_ai_companion_qna_batch - INFO - Total records processing: 20
2026-04-29 19:43:28 - gpd_ai_companion_qna_batch - INFO - Columns in the DataFrame: ['question']
2026-04-29 19:43:28 - gpd_ai_companion_qna_batch - INFO - Batch processing started
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:45 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:46 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 19:43:58 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:43:58 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:43:58 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:43:59 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:43:59 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:44:00 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:44:00 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:44:00 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:44:00 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:44:00 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:44:00 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:44:00 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 19:44:01 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:44:01 - gpd_ai_companion_qna_batch - INFO - Processed 1/20 rows (5.00%)
2026-04-29 19:44:01 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 19:44:01 - gpd_ai_companion_qna_batch - INFO - Processed 2/20 rows (10.00%)
